Date,Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note,Predicted_Yield_ton_per_ha,Cost_LKR_per_ha
29/07/2025,26.4,72.6,32.6,69.9,Flowering,Zinc Sulphate,9.4,Improves grain quality and resistance,Ensure soil testing before application.,10.41,2820
24/02/2025,23.4,27.8,31.5,74.7,Seedling,Urea,28.2,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,8.93,3384
14/01/2025,32.4,49.8,29.8,64.4,Panicle Initiation,Humic Acid,15.6,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.78,3432
10/02/2025,24.9,62,34.4,85.4,Seedling,Calcium Nitrate,19.2,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,10.17,3840
10/07/2025,25.3,54.3,30.4,62.9,Seedling,Magnesium Sulphate,14,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,9.34,2520
01/12/2025,27.4,49.8,29.5,67.2,Tillering,MOP,17.9,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,9.27,2327
15/12/2025,29.7,68.6,33.3,73.3,Tillering,MOP,20.7,Potassium for stem and disease resistance,Use split application to reduce leaching.,10.47,2691
13/01/2025,31.3,49.5,30.9,92,Tillering,MOP,17.6,Potassium for stem and disease resistance,Use split application to reduce leaching.,10.16,2288
04/08/2025,28.9,66.6,33.6,94.6,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.67,3180
15/04/2025,29.3,49.9,34.2,76,Flowering,Boron,5,Micronutrient for flower formation,Use split application to reduce leaching.,9.49,2500
19/12/2025,31.6,53.5,35.7,62.7,Flowering,Iron Chelate,8,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,9.65,3600
02/05/2025,22.1,40.8,30.8,73.2,Tillering,Organic Compost,31.1,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.34,1555
23/05/2025,25.3,70.9,30.8,83.9,Flowering,Iron Chelate,7.5,Iron supply to prevent chlorosis,Use split application to reduce leaching.,10.49,3375
11/04/2025,33.5,52.3,34.5,87.1,Flowering,Iron Chelate,8.1,Iron supply to prevent chlorosis,Use split application to reduce leaching.,10.13,3645
26/04/2025,26.5,42.6,34.1,67.1,Panicle Initiation,DAP,22.7,Phosphorus for root development,Use split application to reduce leaching.,9.27,3405
16/08/2025,25.3,55.2,34.6,76.8,Tillering,Compost Tea,17.1,Enhances microbial activity,Use split application to reduce leaching.,9.81,1368
13/11/2025,30.3,74.1,27.6,63.4,Panicle Initiation,Humic Acid,14,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,10.36,3080
04/01/2025,31.9,37.2,34.7,64.9,Panicle Initiation,Potash,23.9,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,9.52,3824
17/07/2025,31,58.6,35.8,75.8,Seedling,DAP,17.3,Phosphorus for root development,Use split application to reduce leaching.,10.3,2595
21/11/2025,27.9,40.6,31.1,89.2,Tillering,Biochar,25.1,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.64,2510
03/08/2025,22.5,74.6,29.9,78.3,Panicle Initiation,DAP,24.6,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.61,3690
01/03/2025,26.5,28,27.4,85.1,Harvest,Organic Compost,13.1,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,8.81,655
31/07/2025,31.6,35,34.1,72.5,Flowering,Iron Chelate,7.5,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,9.23,3375
03/09/2025,25,72.2,28.6,84.1,Tillering,Urea,32.8,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.65,3936
05/04/2025,33.8,73.1,35.9,77.2,Flowering,Boron,5.6,Micronutrient for flower formation,Ensure soil testing before application.,11,2800
15/06/2025,28.6,61,29.5,75.6,Tillering,MOP,20.3,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.2,2639
14/10/2025,27.7,69.7,35.8,86.2,Tillering,Biochar,21.8,Improves soil fertility and carbon retention,Ensure soil testing before application.,10.89,2180
04/12/2025,32.9,39.3,32.4,78,Seedling,Magnesium Sulphate,16.9,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,9.49,3042
15/03/2025,22,66.4,26.3,65.9,Seedling,Magnesium Sulphate,13.1,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.63,2358
01/03/2025,26.7,42.8,33.4,86.4,Flowering,Boron,5.4,Micronutrient for flower formation,Prefer organic alternatives where possible.,9.39,2700
06/09/2025,27.4,38.3,34.1,79.8,Harvest,Organic Compost,13.2,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.29,660
28/08/2025,31.2,42.3,35.2,80.1,Tillering,MOP,18.5,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.71,2405
30/11/2025,33.3,51.2,29.1,94.5,Tillering,Biochar,22.1,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.35,2210
29/09/2025,29.6,54.2,35.5,76,Panicle Initiation,Seaweed Extract,9.8,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,9.78,2450
14/01/2025,31.1,29.6,30.5,62,Harvest,Green Manure,22.1,Nitrogen enrichment from legumes,Maintain irrigation schedule to avoid fertilizer runoff.,8.72,663
27/08/2025,26.3,44.5,33.3,89.3,Seedling,Magnesium Sulphate,13.9,Magnesium for chlorophyll synthesis,Ensure soil testing before application.,9.54,2502
11/10/2025,31.3,63.7,28.5,85.4,Flowering,Zinc Sulphate,10.3,Improves grain quality and resistance,Prefer organic alternatives where possible.,10.26,3090
31/05/2025,28.2,60.6,30.7,81.2,Panicle Initiation,DAP,24,Phosphorus for root development,Ensure soil testing before application.,10.46,3600
23/03/2025,26,27.8,32.8,79.4,Seedling,DAP,21.6,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,8.98,3240
14/06/2025,26.8,27.5,27.4,63.4,Seedling,DAP,20.2,Phosphorus for root development,Prefer organic alternatives where possible.,8.43,3030
13/09/2025,22.4,40.3,30,82.9,Harvest,Phosphate Rock,20.7,Slow-release phosphorus,Avoid chemical overuse; combine with compost.,9.37,1863
04/02/2025,25.8,48.7,27.3,77.3,Seedling,Urea,23.8,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.62,2856
03/01/2025,31.6,29.6,31,72.6,Flowering,MOP,21.8,Potassium for stem and disease resistance,Use split application to reduce leaching.,9.28,2834
24/08/2025,31.8,32.2,28.8,80.2,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Use split application to reduce leaching.,9.21,3180
06/10/2025,33.3,54.5,35.5,68.2,Tillering,Urea,32.5,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.58,3900
05/06/2025,30.3,58.7,28.3,69,Seedling,Magnesium Sulphate,13.5,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,9.89,2430
10/02/2025,22.6,53.4,34.7,71.4,Panicle Initiation,DAP,25.9,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,9.88,3885
30/09/2025,27.2,73.5,28.7,72.4,Panicle Initiation,Humic Acid,14.1,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,10.58,3102
10/09/2025,33,35.3,30.3,76.8,Tillering,Compost Tea,21.1,Enhances microbial activity,Avoid chemical overuse; combine with compost.,9.52,1688
17/11/2025,31,70.1,32.6,90.3,Tillering,Organic Compost,25.7,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,11.13,1285
21/11/2025,32.7,58.4,31.7,65.2,Seedling,DAP,18.9,Phosphorus for root development,Use split application to reduce leaching.,10.27,2835
28/06/2025,26.4,59.4,32.2,70.6,Seedling,DAP,19.1,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.09,2865
21/10/2025,24.3,71.2,34.3,64,Tillering,Compost Tea,22.7,Enhances microbial activity,Ensure soil testing before application.,10.44,1816
05/05/2025,32.1,68.8,33,70.2,Seedling,DAP,20.5,Phosphorus for root development,Prefer organic alternatives where possible.,10.55,3075
05/04/2025,22.9,25.2,34.8,89.4,Harvest,Green Manure,21.4,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.04,642
20/01/2025,30.2,68.5,29.3,65.5,Panicle Initiation,Urea,18.5,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,10.45,2220
25/02/2025,22.3,44.6,34.4,75.2,Flowering,Zinc Sulphate,8.5,Improves grain quality and resistance,Use split application to reduce leaching.,9.06,2550
24/11/2025,32.9,68.2,29.3,90.5,Panicle Initiation,Seaweed Extract,9,Growth stimulant and micronutrients,Ensure soil testing before application.,10.76,2250
03/02/2025,32,45.6,35.3,80,Harvest,Phosphate Rock,18.9,Slow-release phosphorus,Use split application to reduce leaching.,9.8,1701
04/12/2025,26.5,73.6,26,90.9,Tillering,Compost Tea,20.2,Enhances microbial activity,Ensure soil testing before application.,10.81,1616
07/09/2025,29.8,26.7,35.3,68.1,Harvest,Green Manure,20.8,Nitrogen enrichment from legumes,Use split application to reduce leaching.,8.89,624
18/10/2025,25.2,44.5,32.5,63.4,Tillering,Organic Compost,27,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.14,1350
24/11/2025,25.2,46,28.5,77.8,Tillering,Biochar,22.1,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,9.34,2210
14/01/2024,28.4,55.6,27.3,94.5,Seedling,Urea,23.4,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.15,2808
24/04/2024,28.7,51.4,28.4,85.8,Tillering,MOP,20.6,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,9.9,2678
13/02/2024,29,48.4,27.3,80,Tillering,Biochar,21.6,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,9.74,2160
25/06/2024,23.1,61.9,34.1,66.7,Flowering,Copper Sulphate,7.2,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.51,2880
05/03/2024,27.5,30.4,31,70.1,Flowering,Boron,4.6,Micronutrient for flower formation,Use split application to reduce leaching.,8.69,2300
24/03/2024,33.7,47.8,26.6,91.6,Seedling,Ammonium Sulphate,20.9,Nitrogen and sulphur supply,Use split application to reduce leaching.,9.98,2926
15/12/2024,24.4,54.1,33.5,78,Seedling,DAP,20.1,Phosphorus for root development,Use split application to reduce leaching.,9.83,3015
15/10/2024,29.3,67.8,33.1,63.5,Tillering,Biochar,28,Improves soil fertility and carbon retention,Use split application to reduce leaching.,10.4,2800
25/05/2024,33.3,48,33.1,86.4,Flowering,Boron,4.6,Micronutrient for flower formation,Avoid chemical overuse; combine with compost.,9.92,2300
06/01/2024,23.3,64.4,31.3,71.1,Tillering,MOP,19.5,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.01,2535
09/03/2024,32.1,53.2,32,77.3,Panicle Initiation,DAP,27.9,Phosphorus for root development,Use split application to reduce leaching.,10.17,4185
31/10/2024,28.4,42.2,26.2,62.5,Panicle Initiation,DAP,21.6,Phosphorus for root development,Prefer organic alternatives where possible.,8.88,3240
08/02/2024,29.1,72.4,32.2,84.5,Seedling,DAP,17.1,Phosphorus for root development,Ensure soil testing before application.,10.89,2565
26/10/2024,25.6,38.8,27.1,71.1,Tillering,Urea,34.5,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.22,4140
22/06/2024,31.9,44.9,29.9,91.5,Flowering,Iron Chelate,8.2,Iron supply to prevent chlorosis,Maintain irrigation schedule to avoid fertilizer runoff.,9.96,3690
21/02/2024,32,56.5,35.5,60.2,Tillering,Urea,30.2,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.26,3624
15/08/2024,23.8,62.5,27.8,72.1,Panicle Initiation,Urea,17.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.79,2148
15/10/2024,31.5,46,30.2,87.8,Seedling,Magnesium Sulphate,16.7,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,10.07,3006
22/03/2024,22.4,41.1,30.9,83.9,Tillering,Compost Tea,18.8,Enhances microbial activity,Avoid chemical overuse; combine with compost.,9.27,1504
24/11/2024,29.2,63,28.1,69.1,Seedling,Ammonium Sulphate,18.8,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,10.17,2632
24/07/2024,31.4,25.2,29.5,92.9,Harvest,Green Manure,22.6,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.34,678
07/01/2024,28.2,43.5,27,66.2,Tillering,Compost Tea,22.2,Enhances microbial activity,Use split application to reduce leaching.,9.31,1776
31/08/2024,27.1,25.2,27.8,65.9,Panicle Initiation,Seaweed Extract,10.6,Growth stimulant and micronutrients,Ensure soil testing before application.,8.08,2650
14/09/2024,31.7,36.9,29,68.9,Seedling,Ammonium Sulphate,22,Nitrogen and sulphur supply,Prefer organic alternatives where possible.,9.27,3080
07/02/2024,29,66.8,26.7,65,Panicle Initiation,Humic Acid,13.2,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,10.09,2904
28/05/2024,29.4,74.8,34.6,86,Panicle Initiation,Seaweed Extract,10.7,Growth stimulant and micronutrients,Ensure soil testing before application.,10.93,2675
04/03/2024,22.7,41.3,33.2,78.3,Tillering,Urea,34.5,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.61,4140
17/12/2024,33.6,28.5,27,66.5,Harvest,Phosphate Rock,18.2,Slow-release phosphorus,Ensure soil testing before application.,8.81,1638
03/01/2024,22.1,34.5,35.6,71.7,Tillering,Urea,37.9,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,9.14,4548
01/04/2024,32,45.6,34.6,71.1,Tillering,MOP,17.3,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,9.55,2249
07/06/2024,33.1,29.1,30.2,81.9,Seedling,Urea,21.7,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.27,2604
04/06/2024,26.6,69.5,32,66.7,Flowering,MOP,25.4,Potassium for stem and disease resistance,Use split application to reduce leaching.,10.53,3302
02/04/2024,26.6,59.7,28.4,68.5,Tillering,MOP,19.3,Potassium for stem and disease resistance,Ensure soil testing before application.,9.77,2509
09/07/2024,27,49.4,30.6,73.1,Seedling,Calcium Nitrate,16,Calcium and nitrate supply for strong stems,Avoid chemical overuse; combine with compost.,9.44,3200
23/11/2024,27.3,30.4,29.6,80.5,Flowering,MOP,23.8,Potassium for stem and disease resistance,Ensure soil testing before application.,9.1,3094
01/05/2024,32.8,53.2,35.9,61.6,Tillering,Organic Compost,29.1,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.29,1455
07/08/2024,28.6,32.2,30,90.9,Seedling,DAP,18.7,Phosphorus for root development,Use split application to reduce leaching.,9.34,2805
28/11/2024,33.7,57.5,26.7,92,Tillering,Organic Compost,32.7,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,10.75,1635
22/12/2024,33.4,69,26.2,74.6,Panicle Initiation,Urea,20.4,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.57,2448
08/12/2024,22.8,46.9,31.7,88.2,Harvest,Organic Compost,14.1,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.44,705
26/01/2024,27.1,27.2,27.6,82.1,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Ensure soil testing before application.,8.81,3180
24/05/2024,33.9,47.4,32.8,93.9,Panicle Initiation,Potash,21.1,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,10.56,3376
28/08/2024,24,73.4,26.5,89.6,Panicle Initiation,Potash,18.9,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,10.52,3024
14/05/2024,22.1,54,33.2,82.3,Seedling,Magnesium Sulphate,14.5,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.62,2610
13/02/2024,26.1,41.6,34,74.8,Tillering,Compost Tea,18.7,Enhances microbial activity,Prefer organic alternatives where possible.,9.33,1496
29/06/2024,23,40.7,29.5,85.3,Seedling,Magnesium Sulphate,15.2,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,9.21,2736
07/06/2024,24.6,38.3,29.9,90.6,Panicle Initiation,Potash,20.5,Potassium for stress tolerance,Ensure soil testing before application.,9.4,3280
07/04/2024,23.6,29.8,29.2,73,Flowering,Iron Chelate,8.5,Iron supply to prevent chlorosis,Maintain irrigation schedule to avoid fertilizer runoff.,8.29,3825
27/04/2024,27.1,60.2,34.3,75.7,Seedling,Ammonium Sulphate,20.4,Nitrogen and sulphur supply,Use split application to reduce leaching.,10.12,2856
19/08/2024,29.2,55.4,29.2,78,Panicle Initiation,Seaweed Extract,8.7,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,9.88,2175
26/09/2024,29.8,62.9,34.6,66.5,Flowering,Copper Sulphate,6.4,Micronutrient for enzyme activation,Ensure soil testing before application.,10.18,2560
21/02/2024,31.2,27.8,33.8,67.8,Panicle Initiation,Potash,19.2,Potassium for stress tolerance,Avoid chemical overuse; combine with compost.,9.08,3072
09/01/2024,25.6,57,30.9,94.9,Seedling,Magnesium Sulphate,13.1,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,10.15,2358
19/07/2024,24.2,71.1,34.9,65.5,Harvest,Green Manure,18.2,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,10.28,546
30/08/2024,27.8,57.2,27.4,68.5,Panicle Initiation,Seaweed Extract,11.5,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,9.73,2875
12/11/2024,31.2,36.5,35.8,93.2,Panicle Initiation,DAP,23.2,Phosphorus for root development,Prefer organic alternatives where possible.,9.94,3480
14/06/2024,25.6,29.6,35.2,77.5,Harvest,Organic Compost,14.5,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,8.69,725
16/09/2024,26.6,26.6,26.2,70.2,Seedling,Calcium Nitrate,19.8,Calcium and nitrate supply for strong stems,Prefer organic alternatives where possible.,8.53,3960
24/12/2024,31.2,56.4,35.2,75.5,Harvest,Phosphate Rock,20,Slow-release phosphorus,Prefer organic alternatives where possible.,10.08,1800
18/02/2024,30.3,28.4,30.9,77.8,Panicle Initiation,Humic Acid,12.8,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,8.8,2816
13/11/2024,33.2,71.9,29.8,60.1,Seedling,Ammonium Sulphate,23,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,10.66,3220
17/11/2024,28.1,28.4,26.7,88.5,Panicle Initiation,Potash,22.2,Potassium for stress tolerance,Ensure soil testing before application.,9.11,3552
16/12/2024,31.8,48.1,29.7,78.2,Panicle Initiation,Urea,17.5,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,9.99,2100
09/11/2024,24.7,25.9,26.1,77.2,Panicle Initiation,DAP,26.8,Phosphorus for root development,Ensure soil testing before application.,8.61,4020
10/10/2024,24.6,49.4,33.5,81.8,Harvest,Phosphate Rock,20.2,Slow-release phosphorus,Use split application to reduce leaching.,9.57,1818
07/09/2024,32.1,62,34.6,94.7,Seedling,Urea,21.4,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,11.14,2568
05/10/2024,24.5,32.3,32.5,84.6,Flowering,Boron,5.3,Micronutrient for flower formation,Prefer organic alternatives where possible.,8.97,2650
22/12/2024,32.2,28.6,30,68.8,Seedling,Calcium Nitrate,18.5,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,8.78,3700
11/11/2024,25.2,49.4,32.7,72.5,Flowering,MOP,23.5,Potassium for stem and disease resistance,Use split application to reduce leaching.,9.71,3055
20/08/2024,33,51.4,33.1,63.1,Flowering,Zinc Sulphate,10.1,Improves grain quality and resistance,Prefer organic alternatives where possible.,9.7,3030
28/11/2024,30.8,33.8,28.4,89.2,Tillering,Organic Compost,31.4,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,9.47,1570
17/05/2024,23,40.3,32.2,60.5,Panicle Initiation,DAP,22.1,Phosphorus for root development,Ensure soil testing before application.,8.92,3315
12/07/2024,22.9,26.3,29.4,69.7,Panicle Initiation,Humic Acid,15.9,Soil conditioner and nutrient uptake,Ensure soil testing before application.,8.19,3498
24/03/2024,32.1,32.3,35.5,86.8,Seedling,Magnesium Sulphate,14.1,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,9.6,2538
03/01/2024,30.9,65.2,33.8,84.5,Tillering,MOP,17.4,Potassium for stem and disease resistance,Ensure soil testing before application.,10.72,2262
28/07/2024,33.8,48.7,28.3,76.1,Panicle Initiation,Humic Acid,13.1,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.62,2882
03/06/2024,32.8,36.4,32,64.2,Tillering,Compost Tea,18,Enhances microbial activity,Avoid chemical overuse; combine with compost.,9.25,1440
27/12/2024,22.5,60.2,34.4,84.8,Panicle Initiation,DAP,27.9,Phosphorus for root development,Prefer organic alternatives where possible.,10.49,4185
08/03/2024,27.2,32.8,30.2,81.7,Harvest,Organic Compost,13.7,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,8.95,685
03/05/2024,23.8,57.3,30,75.9,Flowering,Zinc Sulphate,9.9,Improves grain quality and resistance,Use split application to reduce leaching.,9.61,2970
05/07/2024,24.6,33.6,28.8,86.3,Flowering,Copper Sulphate,7.9,Micronutrient for enzyme activation,Ensure soil testing before application.,8.82,3160
07/12/2024,27.3,61.5,31.6,68.5,Panicle Initiation,Potash,23.8,Potassium for stress tolerance,Ensure soil testing before application.,10.24,3808
04/02/2024,22.5,26.7,28.6,80.2,Panicle Initiation,Humic Acid,14.7,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,8.64,3234
27/09/2024,32.5,74.2,30.2,84.2,Flowering,Zinc Sulphate,10.5,Improves grain quality and resistance,Use split application to reduce leaching.,10.8,3150
13/08/2024,30.7,60.2,35.5,84.7,Panicle Initiation,DAP,24.2,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,10.68,3630
09/03/2024,26,28.2,33.6,74.9,Harvest,Organic Compost,13.6,Improves soil structure and moisture retention,Use split application to reduce leaching.,8.85,680
25/01/2024,27.9,48.3,34.4,91.6,Harvest,Phosphate Rock,16.1,Slow-release phosphorus,Ensure soil testing before application.,9.87,1449
10/12/2024,25.9,56.6,34.4,78.3,Harvest,Phosphate Rock,20.3,Slow-release phosphorus,Prefer organic alternatives where possible.,9.88,1827
03/12/2024,25.6,28.2,26.3,63,Panicle Initiation,Humic Acid,15.6,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,8.1,3432
19/10/2024,32.5,49.3,34.1,74,Panicle Initiation,Urea,21.9,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.93,2628
25/10/2024,25,68.4,34.5,81.4,Panicle Initiation,Seaweed Extract,8.9,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,10.38,2225
17/09/2024,26.4,29.4,26.3,61.6,Harvest,Green Manure,17.2,Nitrogen enrichment from legumes,Ensure soil testing before application.,8.32,516
16/09/2024,32.8,50.2,33.9,91.1,Tillering,Biochar,27.6,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,10.41,2760
25/08/2024,23.3,30,26.8,83.6,Flowering,MOP,22.5,Potassium for stem and disease resistance,Ensure soil testing before application.,8.92,2925
14/09/2024,24.6,64.3,34.4,60.7,Flowering,Iron Chelate,7.7,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,9.67,3465
04/07/2024,31.1,74.9,31.5,66,Flowering,Boron,5.7,Micronutrient for flower formation,Ensure soil testing before application.,10.54,2850
24/04/2024,30.4,38.7,34.5,88,Seedling,Calcium Nitrate,16.4,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.86,3280
14/10/2024,25.1,60.5,30.5,64,Seedling,Magnesium Sulphate,15.3,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,9.76,2754
06/11/2024,28.4,58.5,31.3,70.3,Panicle Initiation,DAP,22.5,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.23,3375
13/01/2024,23.9,28.6,34.3,74.9,Flowering,Iron Chelate,6.9,Iron supply to prevent chlorosis,Use split application to reduce leaching.,8.69,3105
18/12/2024,23.5,33.2,31.4,84.3,Seedling,Magnesium Sulphate,17,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,9.01,3060
05/08/2024,33.4,59.3,28.8,70.3,Flowering,Copper Sulphate,7.3,Micronutrient for enzyme activation,Ensure soil testing before application.,9.77,2920
28/04/2024,27.4,46.2,34.8,86.4,Seedling,DAP,22,Phosphorus for root development,Ensure soil testing before application.,9.96,3300
30/09/2024,29.6,30.7,31.3,76.6,Seedling,Ammonium Sulphate,23,Nitrogen and sulphur supply,Ensure soil testing before application.,9.18,3220
17/08/2024,23.1,35.5,31.9,76.7,Panicle Initiation,DAP,21.8,Phosphorus for root development,Use split application to reduce leaching.,8.81,3270
06/05/2024,31.5,40.5,35.7,71,Panicle Initiation,DAP,28.1,Phosphorus for root development,Use split application to reduce leaching.,9.77,4215
29/12/2024,27,48.9,28.2,94.2,Seedling,Ammonium Sulphate,19.1,Nitrogen and sulphur supply,Ensure soil testing before application.,9.73,2674
23/01/2024,28.1,59.2,33,78.7,Flowering,Boron,4.5,Micronutrient for flower formation,Prefer organic alternatives where possible.,10.09,2250
13/07/2024,28.9,59.2,35.5,93.6,Tillering,Biochar,27.3,Improves soil fertility and carbon retention,Ensure soil testing before application.,10.87,2730
24/12/2024,23.9,46.1,26.6,90.5,Harvest,Green Manure,22.3,Nitrogen enrichment from legumes,Maintain irrigation schedule to avoid fertilizer runoff.,9.44,669
21/11/2024,30.6,43.5,31.1,83.5,Panicle Initiation,DAP,22.5,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.76,3375
04/01/2024,22.9,36.7,29.2,66.5,Flowering,MOP,26.9,Potassium for stem and disease resistance,Use split application to reduce leaching.,8.7,3497
10/01/2024,33.4,62.4,26.8,72.7,Panicle Initiation,DAP,22,Phosphorus for root development,Ensure soil testing before application.,10.28,3300
18/02/2024,23.5,45.7,35.4,65.6,Panicle Initiation,Humic Acid,13.3,Soil conditioner and nutrient uptake,Ensure soil testing before application.,9.34,2926
03/07/2024,26,58.5,35.6,80.4,Harvest,Organic Compost,15.5,Improves soil structure and moisture retention,Ensure soil testing before application.,10.02,775
31/12/2024,30.2,48.1,31.4,66.2,Flowering,Copper Sulphate,6.2,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.39,2480
19/01/2024,22.3,52.2,27,60.5,Seedling,Urea,25.9,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,9.11,3108
01/05/2024,32.2,34.2,32.8,88.4,Tillering,Organic Compost,26.2,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.86,1310
26/11/2024,32.2,59.6,31.9,76.3,Flowering,Copper Sulphate,6.7,Micronutrient for enzyme activation,Ensure soil testing before application.,10.14,2680
21/09/2024,23.3,49.6,32.4,78.9,Tillering,Compost Tea,21.6,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,9.82,1728
18/11/2024,24.6,32.2,26.4,60.6,Panicle Initiation,Humic Acid,13.3,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,8.35,2926
